"","MES","INDICE","QTD_EMPRESAS","VLR_MERCADO_EM_REAIS","VLR_MERCADO_EM_DOLARES","MEDIA_INDICE","MEDIA_VLR_EM_REAIS","MEDIA_INDICE_PADRONIZADA","MEDIA_VLR_EM_REAIS_PADRONIZADA","ANO"
"110",2019-12-01,2580.9,27,2252789161336.56,592932873963.4,95.5888888888889,83436635605.0578,0.924415981030916,0.952261429586462,"2019"
"111",2020-01-01,2535.92,27,2107670271695.73,554737661656.01,93.922962962963,78061861914.6567,0.903251657705069,0.857195983405605,"2020"
"112",2020-02-01,2368.03,27,1952377698255.87,513864741342.26,87.7048148148148,72310285120.5878,0.824254809257393,0.755465892862796,"2020"
"113",2020-03-01,1631.13,27,1339364583538.95,352520025145.79,60.4122222222222,49606095686.6278,0.477523153881301,0.353889189722945,"2020"
"114",2020-04-01,1804.74,27,1482260697873.07,390130204209.4,66.8422222222222,54898544365.6693,0.559211419168101,0.447498525491055,"2020"
"115",2020-05-01,1939.07,26,1504406052129.28,395958849326.04,74.5796153846154,57861771235.7415,0.657509121388607,0.499910124707151,"2020"
"116",2020-06-01,2116.86,26,1631415329819.76,429387621682.33,81.4176923076923,62746743454.6062,0.744381693977076,0.586312286047789,"2020"
"117",2020-07-01,2305.93,26,1783794119334.5,469493635662.1,88.6896153846154,68607466128.25,0.836765952367885,0.689972876801078,"2020"
"118",2020-08-01,2184.58,26,1695611933765,446284132695.96,84.0223076923077,65215843606.3462,0.777471353776228,0.629984098315826,"2020"
"119",2020-09-01,2062.48,25,1575414234775.89,414648164124.82,82.4992,63016569391.0356,0.758121427612993,0.59108478895031,"2020"
"120",2020-10-01,2022.67,25,1563762269164.07,411581373154.74,80.9068,62550490766.5628,0.737891195320194,0.582841098156408,"2020"
"121",2020-11-01,2328.4,25,1799514659040.85,473631273106.5,93.136,71980586361.634,0.893253891097074,0.749634399030564,"2020"
"122",2020-12-01,2538.46,25,1966300277526.36,517529156584.31,101.5384,78652011101.0544,1,0.867634152331371,"2020"
"123",2021-01-01,2423.37,58,3166462612235.75,600687220138.02,41.7822413793103,54594182969.5819,0.240843400011347,0.442115182194025,"2021"
"124",2021-02-01,2283.07,58,2970265695853.51,548201560638.83,39.363275862069,51211477514.7157,0.210112280743535,0.382284122899457,"2021"
"125",2021-03-01,2413.47,59,3119575886337.92,566351237489.19,40.9062711864407,52874167565.0495,0.229714864163996,0.411692686050263,"2021"
"126",2021-04-01,2406.77,59,3100273902184.11,569651973795.39,40.7927118644068,52547015291.2561,0.228272179245786,0.405906232765208,"2021"
"127",2021-05-01,2535.91,57,3348823175295.13,640543060632.97,44.489649122807,58751283777.1075,0.275238958641253,0.515643234880599,"2021"
"128",2021-06-01,2525.86,57,3356875955390.95,682208664673.24,44.3133333333333,58892560620.8939,0.272999000478768,0.518142046358662,"2021"
"129",2021-07-01,2436.07,57,3266281919147.64,632155048316.72,42.7380701754386,57303191563.9937,0.252986478746478,0.49003033650005,"2021"
"130",2021-08-01,2370.68,57,3230536679026.31,595227305712.83,41.5908771929825,56676082088.1809,0.238412263398728,0.478938438392999,"2021"
"131",2021-09-01,2213.45,56,3013996177591.28,554104529468.6,39.5258928571429,53821360314.13,0.212178206129808,0.428446005631221,"2021"
"132",2021-10-01,2069.06,57,2832468957721.6,504680521295.95,36.299298245614,49692437854.7649,0.171186772755076,0.355416352950829,"2021"
"133",2021-11-01,2039.39,57,2788062801092.3,514412221829.22,35.7787719298246,48913382475.3035,0.164573881344038,0.341636936083406,"2021"
"134",2021-12-01,2038.58,57,2750418182398.89,488034881629.41,35.7645614035088,48252950568.4016,0.164393347402584,0.329955652829781,"2021"
"135",2022-01-01,2188.39,64,3085726486227.29,571918020207.44,34.19359375,48214476347.3014,0.144435396790328,0.329275146225032,"2022"
"136",2022-02-01,2126.11,63,2992025693852.25,582174124188.05,33.7477777777778,47492471330.9881,0.138771643538698,0.316504798490537,"2022"
"137",2022-03-01,2268.88,62,3139876092787.73,661221432166.85,36.5948387096774,50643162786.8989,0.174941389836164,0.372232147452092,"2022"
"138",2022-04-01,2042.79,62,2838931717646.99,602004266009.37,32.9482258064516,45789221252.3708,0.12861394314301,0.286378836355516,"2022"
"139",2022-05-01,2104.16,62,2900078598337.37,614215223300.87,33.938064516129,46775461263.506,0.141189091993285,0.303822798111044,"2022"
"140",2022-06-01,1858.49,61,2600725217431.89,496975263185.95,30.4670491803279,42634839630.031,0.097092478997099,0.230586218168079,"2022"
"141",2022-07-01,1951.83,60,2776006022452.58,535040864708.3,32.5305,46266767040.8763,0.123307054108085,0.294825350771024,"2022"
"142",2022-08-01,2163.53,NA,NA,NA,NA,NA,NA,NA,"2022"
"143",2010-10-01,1122.63,NA,NA,NA,NA,NA,NA,NA,"2010"
"144",2010-08-01,1000,NA,NA,NA,NA,NA,NA,NA,"2010"
"145",2010-09-01,1080.85,NA,NA,NA,NA,NA,NA,NA,"2010"
