"","MES","INDICE","QTD_EMPRESAS","VLR_MERCADO_EM_REAIS","VLR_MERCADO_EM_DOLARES","MEDIA_INDICE","MEDIA_VLR_EM_REAIS","MEDIA_INDICE_PADRONIZADA","MEDIA_VLR_EM_REAIS_PADRONIZADA"
"86",2012-12-01,2432.53,37,1091098746877.72,533936259788.47,65.7440540540541,29489155321.0195,0.255292918718135,0.326160401000866
"87",2013-01-01,2450.01,37,1150245432402.95,578506982046.47,66.2164864864865,31087714389.2689,0.259309221914623,0.356799098981237
"88",2013-02-01,2432.79,37,1141791255013.06,578005090114.94,65.7510810810811,30859223108.4611,0.255352657781699,0.352419732911589
"89",2013-03-01,2438.04,37,1153823946283.1,572958559083.87,65.892972972973,31184430980.6243,0.256558927334419,0.358652812422977
"90",2013-04-01,2447.97,37,1124859438796.46,561952060147.1,66.1613513513513,30401606453.9584,0.25884050003128,0.343648847464453
"91",2013-05-01,2397.11,37,1112836912475.02,521993016780.79,64.7867567567568,30076673310.1357,0.24715462013578,0.337421033519299
"92",2013-06-01,2244.03,37,1019312859703.18,460061770943.83,60.6494594594595,27548996208.1941,0.211982097634734,0.288974443802039
"93",2013-07-01,2303.22,37,1041774774969.57,454863893363.13,62.2491891891892,28156074999.1776,0.225581925220551,0.300609987396684
"94",2013-08-01,2358.26,37,1050014430834,442577210045.97,63.7367567567568,28378768400.9189,0.238228225445646,0.304878228723322
"95",2013-09-01,2444.87,37,1109629931552.58,497591897557.21,66.0775675675676,29989998150.0697,0.258128226581102,0.335759778640198
"96",2013-10-01,2564.22,37,1169504331454.21,530965373401.56,69.3032432432432,31608225174.4381,0.285550754412953,0.366775441463087
"97",2013-11-01,2518.02,37,1132311271880.75,487036548617.52,68.0545945945946,30603007348.1284,0.27493558234901,0.347508987068934
"98",2013-12-01,2479.61,37,1107626935726.62,472819489339.44,67.0164864864865,29935863127.7465,0.266110284535677,0.334722202593078
"99",2014-01-01,2309.82,40,1065526993066.12,439157150008.76,57.7455,26638174826.653,0.187294584968752,0.27151723388257
"100",2014-02-01,2260.65,40,1053538072815.32,451503416823.2,56.51625,26338451820.383,0.176844327185089,0.265772608707767
"101",2014-03-01,2391.07,40,1120238994257.86,495023859592.51,59.77675,28005974856.4465,0.204562908030022,0.297733100936064
"102",2014-04-01,2445.83,40,1159442311346.48,518534128509.16,61.14575,28986057783.662,0.2162012264403,0.316517808613809
"103",2014-05-01,2404.02,40,1122834233172.3,501489161756.27,60.1005,28070855829.3075,0.20731521305948,0.298976638676798
"104",2014-06-01,2511.93,40,1162042057464.07,527601388178.9,62.79825,29051051436.6018,0.230249671416915,0.317763506031323
"105",2014-07-01,2569.62,40,1208639188819.03,533050713953.87,64.2405,30215979720.4757,0.242510712123434,0.340091042477938
"106",2014-08-01,2699.2,40,1301294219073.1,581038676135.55,67.48,32532355476.8275,0.270050765074564,0.384487736111306
"107",2014-09-01,2517.01,40,1168743020276.71,476843337526.17,62.92525,29218575506.9177,0.231329340108007,0.320974347280045
"108",2014-10-01,2549.35,40,1184489679652.34,484612421099.9,63.73375,29612241991.3085,0.23820266401941,0.328519535168191
"109",2014-11-01,2588.05,40,1219401702049.98,476310183996.65,64.70125,30485042551.2495,0.246427699126747,0.345248021017898
"110",2014-12-01,2431.59,40,1117933274579.49,420876919877.84,60.78975,27948331864.4873,0.213174753573931,0.296628289574131
"111",2015-01-01,2291.61,40,1061351504510.68,398659619318.14,57.29025,26533787612.767,0.183424355270958,0.269516501859094
"112",2015-02-01,2486.91,40,1157872685081.56,402290558363.42,62.17275,28946817127.039,0.224932090580078,0.315765704640485
"113",2015-03-01,2433.79,40,1130563906865.89,352420170469.43,60.84475,28264097671.6472,0.213642326629129,0.302680398245159
"114",2015-04-01,2601.48,40,1228561892187.71,410396142499.91,65.037,30714047304.6927,0.249282020095521,0.349637228533702
"115",2015-05-01,2487.05,40,1153748011075.33,362950802527.83,62.17625,28843700276.8833,0.224961845229046,0.313789320976371
"116",2015-06-01,2478.85,40,1166295940176.22,375909218131.94,61.97125,29157398504.4055,0.2232190729324,0.319801801491437
"117",2015-07-01,2465.34,40,1140382574338.5,335999579946.52,61.6335,28509564358.4625,0.220347749307074,0.307385122537775
"118",2015-08-01,2289.98,40,1033921632618.81,283522536161.13,57.2495,25848040815.4703,0.183077926143699,0.256373172074984
"119",2015-09-01,2227.62,39,984545027420.79,247815204868.2,57.1184615384615,25244744292.8408,0.181963925165336,0.244810121127049
"120",2015-10-01,2243.43,39,998641425445.46,258789143394.61,57.5238461538462,25606190396.0374,0.18541023285889,0.251737758780221
"121",2015-11-01,2169.52,39,992492513385.08,257750094371.06,55.6287179487179,25448525984.2328,0.169299125861387,0.248715892155784
"122",2015-12-01,2118.01,39,961535775371.53,246244564477.45,54.3079487179487,24654763471.0649,0.158070833053358,0.233502284856477
"123",2016-01-01,2011.55,35,825354279406.38,204154120759.44,57.4728571428571,23581550840.1823,0.184976758537987,0.212932611630489
"124",2016-02-01,2070.75,35,856727261774.73,215279742128.53,59.1642857142857,24477921764.9923,0.199356148079644,0.230112857633982
"125",2016-03-01,2217.11,35,976261149992.72,274315420493.05,63.346,27893175714.0777,0.234906273980268,0.295571142129458
"126",2016-04-01,2255.86,35,1010567844630.65,292850308517.06,64.4531428571429,28873366989.4471,0.244318458857619,0.314357926456374
"127",2016-05-01,2118.84,35,926907812104.04,257825321160.48,60.5382857142857,26483080345.8297,0.211036973131305,0.268544623704599
"128",2016-06-01,2203.71,34,969518023320.91,302049356134.63,64.815,28515235980.0268,0.247394725218178,0.307493827373034
"129",2016-07-01,2483.9,34,1089226840754.48,336284915330.18,73.0558823529412,32036083551.6024,0.317453171387043,0.374975966458802
"130",2016-08-01,2496.41,34,1116355914762.9,344522394458.21,73.4238235294118,32833997493.0265,0.320581160114594,0.390269141888592
"131",2016-09-01,2482.57,34,1107439825450.28,341149598130.2,73.0167647058824,32571759572.0671,0.317120619427998,0.385242972622245
"132",2016-10-01,2636.71,34,1221701895332.36,384050138421.42,77.5502941176471,35932408686.2459,0.355661641207751,0.449654676432528
"133",2016-11-01,2445.55,34,1150259878479.59,338640409361.9,71.9279411764706,33831172896.4585,0.307864173169491,0.409381451609287
"134",2016-12-01,2410.05,34,1136009376628.01,348565363636.59,70.8838235294118,33412040489.0591,0.298987786292747,0.401348172452353
"135",2017-01-01,2463.09,34,1200986283719.23,384069806114.22,72.4438235294118,35323125991.7421,0.312249858403803,0.437976891837423
"136",2017-02-01,2533.88,34,1265505295987.19,408319716060.84,74.5258823529412,37220743999.6232,0.329950123953229,0.474347487194435
"137",2017-03-01,2517.57,34,1221161929238.11,385419116664,74.0461764705882,35916527330.5327,0.325871986771266,0.449350287266759
"138",2017-04-01,2570.55,34,1236688154893.29,386658377592.98,75.6044117647059,36373181026.2732,0.339119056538305,0.458102716215623
"139",2017-05-01,2518.77,34,1165681416717.74,359367825852.47,74.0814705882353,34284747550.5218,0.326172033651607,0.418074866268411
"140",2017-06-01,2483.31,34,1158993464490.25,350339599930.53,73.0385294117647,34088043073.2426,0.317305648337542,0.414304740290306
"141",2017-07-01,2574.6,34,1208034701117.33,385867282434.39,75.7235294117647,35530432385.8038,0.340131714759454,0.441950218893778
"142",2017-08-01,2738.05,34,1294456174850.81,411317141130.19,80.5308823529412,38072240436.7885,0.381000600252516,0.490667648699783
"143",2017-09-01,2866.26,34,1359778446814.76,429222994575.34,84.3017647058824,39993483729.8459,0.413058109026241,0.527491056837749
"144",2017-10-01,2872.29,34,1364608011533.22,416432607505.05,84.4791176470588,40135529750.9771,0.414565844599953,0.530213574401969
"145",2017-11-01,2697.12,34,1285843393054.89,394236998115.9,79.3270588235294,37818923325.1438,0.370766501242231,0.485812459654162
"146",2017-12-01,2829.5,34,1341120553843.03,405417337921.1,83.2205882352941,39444722171.8538,0.40386667292514,0.516973247410183
"147",2018-01-01,3051.89,30,1448165968632.07,457932572929.45,101.729666666667,48272198954.4023,0.561218424762345,0.686164615086958
"148",2018-02-01,2964.75,30,1426069761591.88,439480341949.49,98.825,47535658719.7293,0.536524899895735,0.672047755567185
"149",2018-03-01,2985.73,30,1457728173014.4,438572770026.62,99.5243333333333,48590939100.48,0.542470162136973,0.692273731267812
"150",2018-04-01,3000.39,30,1419678238481.04,407824606728.05,100.013,47322607949.368,0.546624477888,0.667964329225777
"151",2018-05-01,2761.8,30,1247254783575.49,333758304408.74,92.06,41575159452.5163,0.479013414106447,0.557806161066492
